saledate,saledate_y,ward,age,rmdl,ttl_bathrms,heat_d,ac,num_units,rooms,bedrms,stories,log_gba,extwall_d,roof_d,floor_d,kitchens,fireplaces,landarea,price,log_price
2019-09-30,2019,2,111 or More,No,3.5,Hot Water,Yes,2 or More,9,5 or More,2 or Fewer,8.073402968986406,Brick,Metal,Hard,2 or More,2 or More,"2,000 to 4,999",1940000.0,14.47819853103951
2019-09-30,2019,7,11 to 60,Yes,3.5,Forced Air,Yes,1,6,4,2 or Fewer,7.1929342212158,Brick,Flat,Hard,2 or More,0,"2,000 to 4,999",480000.0,13.081541382884074
2019-09-30,2019,1,91 to 100,Yes,3.5,Dual Climate,Yes,2 or More,9,5 or More,2 or Fewer,7.870165946469845,Brick,Metal,Hard,2 or More,0,"2,000 to 4,999",1550000.0,14.253765488895429
2019-09-30,2019,5,101 to 110,Yes,3.5,Forced Air,Yes,2 or More,10 or More,5 or More,2 or Fewer,7.461640392208575,Brick,Flat,Hard,2 or More,1,"1,000 to 1,999",1154000.0,13.958744726050181
2019-09-30,2019,7,61 to 70,Yes,2,Forced Air,Yes,1,7,3,2 or Fewer,6.883462586413092,Brick,Shingle,Hard,1,0,"1,000 to 1,999",400000.0,12.89921982609012
2019-09-30,2019,3,91 to 100,Yes,3.5,Forced Air,Yes,1,10 or More,4,2.5 or More,7.890582534656536,Siding and Stucco,Flat,Hard,1,1,"2,000 to 4,999",1862500.0,14.437430229235853
2019-09-30,2019,6,101 to 110,Yes,2.5,Forced Air,Yes,2 or More,6,4,2 or Fewer,7.408530566894626,Brick,Metal,Hard,2 or More,1,"1,000 to 1,999",1065000.0,13.878485357125662
2019-09-30,2019,7,101 to 110,Yes,1.5,Forced Air,Yes,1,6,3,2 or Fewer,7.025538314638521,Brick,Metal,Hard,1,0,"1,000 to 1,999",789000.0,13.578521599828012
2019-09-30,2019,4,91 to 100,Yes,2,Forced Air,Yes,1,7,3,2 or Fewer,7.138866999945524,Brick,Flat,Hard,1,1,"1,000 to 1,999",670000.0,13.415032991367148
2019-09-30,2019,1,101 to 110,Yes,2.5,Hot Water,Yes,2 or More,7,4,2 or Fewer,7.374001859350161,Brick,Metal,Hard,2 or More,0,"2,000 to 4,999",924000.0,13.73646735062382
2019-09-30,2019,8,91 to 100,Yes,2.5,Forced Air,Yes,1,8,4,2.5 or More,7.304515946460155,Siding and Stucco,Shingle,Hard,1,0,"2,000 to 4,999",680000.0,13.42984807715229
2019-10-01,2019,5,91 to 100,Yes,3.5,Forced Air,Yes,1,7,3,2 or Fewer,7.272398392570047,Brick,Flat,Hard,2 or More,0,"2,000 to 4,999",765000.0,13.547631112808673
2019-10-01,2019,7,81 to 90,Yes,1,Dual Climate,Yes,1,5 or Fewer,2 or Fewer,2 or Fewer,6.715383386334681,Siding and Stucco,Shingle,Hard,1,0,"2,000 to 4,999",300000.0,12.611537753638338
2019-10-01,2019,7,11 to 60,No,1,Forced Air,Yes,1,7,3,2 or Fewer,7.090076835776092,Siding and Stucco,Shingle,Hard,1,0,"2,000 to 4,999",590000.0,13.287877815881902
2019-10-02,2019,6,111 or More,No,4 or More,Other,Yes,2 or More,10 or More,5 or More,2.5 or More,8.368925174747135,Brick,Flat,Hard,2 or More,2 or More,"2,000 to 4,999",1781000.0,14.392685562271799
2019-10-02,2019,6,111 or More,Yes,2.5,Hot Water,Yes,2 or More,9,4,2 or Fewer,7.670428522190693,Brick,Metal,Hard,2 or More,2 or More,"1,000 to 1,999",1385000.0,14.141210697603576
2019-10-02,2019,8,61 to 70,Yes,2,Forced Air,Yes,2 or More,8,4,2 or Fewer,7.3777589082278725,Brick,Flat,Hard,2 or More,0,"5,000 or More",485000.0,13.091904169919621
2019-10-02,2019,6,101 to 110,Yes,3.5,Hot Water,Yes,1,6,4,2 or Fewer,7.468513271496337,Brick,Metal,Hard,1,0,"1,000 to 1,999",1685000.0,14.3372761217686
2019-10-02,2019,5,61 to 70,Yes,1.5,Forced Air,Yes,1,7,3,2 or Fewer,7.204892510204673,Brick,Shingle,Soft,1,0,"5,000 or More",530000.0,13.180632285528304
2019-10-02,2019,7,61 to 70,Yes,1.5,Forced Air,Yes,1,6,3,2 or Fewer,7.02108396428914,Brick,Shingle,Hard,1,1,"5,000 or More",440000.0,12.994530005894443
2019-10-02,2019,3,91 to 100,Yes,2,Hot Water,Yes,1,6,2 or Fewer,2 or Fewer,7.111512116496157,Brick,Flat,Hard,1,0,"1,000 to 1,999",863380.0,13.668610197600797
2019-10-02,2019,7,71 to 80,Yes,2,Forced Air,Yes,1,5 or Fewer,2 or Fewer,2 or Fewer,6.684611727667927,Brick,Flat,Hard,1,0,"2,000 to 4,999",354000.0,12.777052192115912
2019-10-02,2019,8,61 to 70,Yes,1,Forced Air,Yes,1,5 or Fewer,2 or Fewer,2 or Fewer,6.723832440821209,Brick,Flat,Hard,1,0,"2,000 to 4,999",325000.0,12.691580461311874
2019-10-03,2019,2,91 to 100,Yes,2.5,Hot Water,No,1,7,4,2 or Fewer,7.422971251049421,Siding and Stucco,Flat,Hard,2 or More,1,"2,000 to 4,999",1020000.0,13.835313185260453
